Date,Close
2020-04-03,13433.13
2020-04-07,14174.79
2020-04-08,14414.92
2020-04-09,14916.37
2020-04-13,14722.25
2020-04-15,14861.22
2020-04-16,15128.45
2020-04-17,15434.17
2020-04-20,15434.35
2020-04-21,14977.64
2020-04-22,15129.89
2020-04-23,15373.91
2020-04-24,15082.71
2020-04-27,15361.52
2020-04-28,15582.25
2020-04-29,15805.77
2020-04-30,16031.79
2020-05-04,15505.29
2020-05-05,15386.67
2020-05-06,15595.53
2020-05-07,15502.67
2020-05-08,15478.9
2020-05-11,15534.03
2020-05-12,15406.49
2020-05-13,15666.74
2020-05-14,15626.28
2020-05-15,15530.01
2020-05-18,14871.4
2020-05-19,14889.53
2020-05-20,15102.05
2020-05-21,15197.01
2020-05-22,15114.55
2020-05-26,15321.12
2020-05-27,15383.62
2020-05-28,15591.19
2020-05-29,15731.55
2020-06-01,16118.28
2020-06-02,16312.11
2020-06-03,16387.12
2020-06-04,16385.92
2020-06-05,16540.71
2020-06-08,16553.93
2020-06-09,16439.98
2020-06-10,16583.31
2020-06-11,16406.0
2020-06-12,16518.35
2020-06-15,16369.39
2020-06-16,16445.69
2020-06-17,16447.03
2020-06-18,16566.87
2020-06-19,16667.02
2020-06-22,16864.87
2020-06-23,17067.79
2020-06-24,16800.0
2020-06-25,16956.66
2020-06-26,17010.8
2020-06-29,16913.85
2020-06-30,16937.85
2020-07-01,16997.75
2020-07-02,17152.71
2020-07-03,17237.51
2020-07-06,17494.78
2020-07-07,17512.62
2020-07-08,17474.35
2020-07-09,17592.08
2020-07-10,17559.48
2020-07-13,17560.85
2020-07-14,17485.75
2020-07-15,17506.76
2020-07-16,17596.78
2020-07-17,17770.08
2020-07-20,17964.88
2020-07-21,17942.7
2020-07-22,17971.58
2020-07-23,18114.4
2020-07-24,18178.16
2020-07-27,18094.4
2020-07-28,18180.98
2020-07-29,18229.48
2020-07-30,18119.31
2020-07-31,18243.99
2020-08-03,18445.54
2020-08-04,18641.0
2020-08-05,18755.73
2020-08-06,18980.53
2020-08-07,19216.73
2020-08-10,19472.05
2020-08-11,19371.32
2020-08-12,19282.21
2020-08-13,19462.89
2020-08-14,19290.83
2020-08-17,19323.81
2020-08-18,19541.73
2020-08-19,19673.89
2020-08-20,19762.82
2020-08-21,19922.0
2020-08-24,20164.43
2020-08-25,20222.8
2020-08-26,20279.99
2020-08-27,20302.57
2020-08-28,20268.46
2020-08-31,19422.78
2020-09-01,19549.6
2020-09-02,19844.55
2020-09-03,20037.1
2020-09-04,19796.58
2020-09-07,19685.52
2020-09-08,19560.83
2020-09-09,19399.33
2020-09-10,19617.27
2020-09-11,19744.44
2020-09-14,20522.66
2020-09-15,20804.04
2020-09-16,20919.24
2020-09-17,20941.16
2020-09-18,20937.95
2020-09-21,20273.2
2020-09-22,20001.29
2020-09-23,19936.47
2020-09-24,19578.55
2020-09-25,19962.35
2020-09-28,20468.43
2020-09-29,20428.95
2020-09-30,20450.14
2020-10-01,20476.08
2020-10-05,20473.2
2020-10-06,20547.34
2020-10-07,20469.84
2020-10-08,20441.19
2020-10-09,20354.89
2020-10-12,20426.83
2020-10-13,20385.04
2020-10-14,20462.25
2020-10-15,20198.02
2020-10-16,20326.89
2020-10-19,20318.7
2020-10-20,20412.09
2020-10-21,20438.61
2020-10-22,20495.36
2020-10-23,20584.47
2020-10-26,20389.03
2020-10-27,20540.35
2020-10-28,20391.58
2020-10-29,20348.31
2020-10-30,20385.08
2020-11-02,20271.27
2020-11-03,20382.86
2020-11-04,20546.55
2020-11-05,20949.08
2020-11-06,21021.12
2020-11-09,21179.35
2020-11-10,20802.04
2020-11-11,20907.59
2020-11-12,21051.8
2020-11-13,21211.81
2020-11-14,21337.58
2020-11-17,21401.26
2020-11-18,21534.79
2020-11-19,21445.35
2020-11-20,21643.84
2020-11-23,21897.61
2020-11-24,22103.47
2020-11-25,21692.18
2020-11-26,21820.25
2020-11-27,22333.27
2020-12-01,22347.54
2020-12-02,22392.58
2020-12-03,22475.41
2020-12-04,22538.38
2020-12-07,22673.18
2020-12-08,22599.57
2020-12-09,22721.45
2020-12-10,22652.45
2020-12-11,22667.54
2020-12-14,22775.38
2020-12-15,22812.75
2020-12-16,23013.83
2020-12-17,23077.78
2020-12-18,23080.56
2020-12-21,22312.72
2020-12-22,22576.18
2020-12-23,23105.36
2020-12-24,23229.07
2020-12-28,23443.86
2020-12-29,23433.37
2020-12-30,23520.38
2020-12-31,23569.56
2021-01-01,23820.52
2021-01-04,24129.08
2021-01-05,24294.02
2021-01-06,24361.32
2021-01-07,24511.58
2021-01-08,24786.67
2021-01-11,24783.21
2021-01-12,24785.54
2021-01-13,24701.21
2021-01-14,24755.03
2021-01-15,24350.68
2021-01-18,23976.63
2021-01-19,24414.16
2021-01-20,24639.97
2021-01-21,24459.36
2021-01-22,24245.81
2021-01-25,24054.21
2021-01-27,23934.85
2021-01-28,23826.72
2021-01-29,23585.21
2021-02-01,24051.32
2021-02-02,24358.71
2021-02-03,24748.99
2021-02-04,25050.34
2021-02-05,24865.9
2021-02-08,25232.42
2021-02-09,25110.47
2021-02-10,25273.31
2021-02-11,25352.33
2021-02-12,25351.82
2021-02-15,25616.68
2021-02-16,25610.54
2021-02-17,25587.85
2021-02-18,25624.64
2021-02-19,25364.74
2021-02-22,25120.5
2021-02-23,25276.87
2021-02-24,25311.15
2021-02-25,25593.42
2021-02-26,25262.19
2021-03-01,25649.89
2021-03-02,26099.83
2021-03-03,26359.28
2021-03-04,26459.49
2021-03-05,26047.29
2021-03-08,26121.77
2021-03-09,26075.91
2021-03-10,26345.75
2021-03-12,26297.08
2021-03-15,26165.86
2021-03-16,26383.6
2021-03-17,25869.78
2021-03-18,25428.77
2021-03-19,25765.44
